Legend:
Voiced vowel = lower case (e.g., 'i, e')
Devoiced vowel = upper case (e.g., 'I, E')
Short vowel = plain ('i, I, e, E')
Long vowel = umlaut ('ï, Ï, ë, Ë')
Placeless nasal coda = 'N'
Placeless non-nasal coda (1st half of geminate) = 'Q'
Word boundary = '#'

BIPHONE	O-VALUE	E-VALUE	OE-RATIO	CONSTRAINT
ʃç	7.202E-07	7.91703E-05	0.009096228	*ʃç
dï	8.35376E-05	7.84071E-05	1.065433863	--
rʲo	0.000253493	7.77358E-05	3.260960012	Contig-rʲo
ʤʤ	7.202E-07	7.71025E-05	0.009340176	*ʤʤ
ckʲ	2.23247E-05	7.62584E-05	0.292750407	*ckʲ
kʲc	2.1605E-06	7.62584E-05	0.028330685	*kʲc
cü	0.000249172	7.45205E-05	3.343673711	Contig-cü
tA	0.000373038	7.19717E-05	5.183126605	Contig-tA
çö	0.000537953	7.17916E-05	7.49325553	Contig-çö
Nf	3.45673E-05	0.000070075	0.493289466	*Nf
tO	0.000623651	0.000068252	9.13747649	Contig-tO
çg	7.202E-07	6.73766E-05	0.010688446	*çg
nä	2.80859E-05	6.73442E-05	0.417049795	*nä
ʤʧ	7.202E-07	6.72758E-05	0.010704462	*ʤʧ
ʧʤ	3.6008E-06	6.72758E-05	0.053522309	*ʧʤ
zU	7.34554E-05	0.000067009	1.096201983	--
ʤë	3.02464E-05	6.47021E-05	0.467470713	*ʤë
kA	0.000213885	0.000064141	3.33460527	Contig-kA
ʧb	2.8806E-06	6.34963E-05	0.045366529	*ʧb
rä	6.12129E-05	6.32236E-05	0.968196048	--
cʤ	7.202E-07	6.23245E-05	0.011554867	*cʤ
ʤc	7.202E-07	6.23245E-05	0.011554867	*ʤc
pʃ	1.4403E-06	6.17726E-05	0.023316221	*pʃ
ʃp	3.6008E-06	6.17726E-05	0.058290553	*ʃp
zy	7.202E-07	6.16546E-05	0.011680417	*zy
bë	9.65003E-05	6.10672E-05	1.580231215	Contig-bë
kO	0.000218206	0.000060826	3.587376298	Contig-kO
ʃï	0.000510587	5.91395E-05	8.633612708	Contig-ʃï
hʧ	7.202E-07	5.90105E-05	0.012203787	*hʧ
ʧh	7.202E-07	5.90105E-05	0.012203787	*ʧh
ʧʧ	5.0411E-06	5.87015E-05	0.085876166	*ʧʧ
sä	6.98547E-05	5.80277E-05	1.203816353	--
hë	0.000152672	0.000056753	2.690114487	Contig-hë
ʧë	3.6008E-06	5.64558E-05	0.063780055	*ʧë
pö	0.000180758	5.60153E-05	3.226936961	Contig-pö
çI	0.00152168	5.44315E-05	27.95586525	Contig-çI
cʧ	7.202E-07	5.43812E-05	0.013242645	*cʧ
