Data generated for Whang 2021
Phrase-level contextual surprisal of "S2" after "S1" (Whang 2019, Shannon 1948)

Legend:
Voiced vowel = lower case (e.g., 'i, e')
Devoiced vowel = upper case (e.g., 'I, E')
Short vowel = plain ('i, I, e, E')
Long vowel = umlaut ('ï, Ï, ë, Ë')
Placeless nasal coda = 'N'
Placeless non-nasal coda (1st half of geminate) = 'Q'
Word boundary = '#'

BIPHONE	S1_	S2	BIPHONE-COUNT	CONTEXT-COUNT	Surprisal(S2)
pʲü	pʲ	ü	18	212	3.557995453
pʲa	pʲ	a	12	212	4.142957954
pʲo	pʲ	o	4	212	5.727920455
pʲu	pʲ	u	3	212	6.142957954
Qt	Q	t	13333	19774	0.568603306
Qk	Q	k	2565	19774	2.946574006
Qp	Q	p	973	19774	4.345021122
Qʃ	Q	ʃ	584	19774	5.081492558
Qs	Q	s	558	19774	5.147195805
Qʧ	Q	ʧ	522	19774	5.24341112
Qkʲ	Q	kʲ	486	19774	5.346504613
Qtʲ	Q	tʲ	247	19774	6.322949885
Qʦ	Q	ʦ	194	19774	6.671404275
Qpʲ	Q	pʲ	186	19774	6.732158306
Qd	Q	d	38	19774	9.023389604
Qb	Q	b	21	19774	9.878999694
Qʤ	Q	ʤ	20	19774	9.949389022
Qg	Q	g	16	19774	10.27131712
Qf	Q	f	14	19774	10.46396219
Q#	Q	#	5	19774	11.94938902
Qa	Q	a	2	19774	13.27131712
Qu	Q	u	2	19774	13.27131712
Qj	Q	j	2	19774	13.27131712
Qgʲ	Q	gʲ	2	19774	13.27131712
Qn	Q	n	1	19774	14.27131712
Qr	Q	r	1	19774	14.27131712
Qnʲ	Q	nʲ	1	19774	14.27131712
Qdʲ	Q	dʲ	1	19774	14.27131712
ru	r	u	13335	51093	1.937907823
re	r	e	11194	51093	2.190399995
ra	r	a	10575	51093	2.272467985
ri	r	i	10190	51093	2.325971597
ro	r	o	4091	51093	3.642600206
rë	r	ë	844	51093	5.919738839
rï	r	ï	207	51093	7.94735107
rö	r	ö	197	51093	8.018786208
rü	r	ü	132	51093	8.596443908
rU	r	U	103	51093	8.954337501
rä	r	ä	85	51093	9.231447092
rI	r	I	52	51093	9.94039831
rE	r	E	36	51093	10.47091303
rA	r	A	14	51093	11.83348311
rt	r	t	9	51093	12.47091303
r#	r	#	7	51093	12.83348311
rm	r	m	7	51093	12.83348311
rO	r	O	7	51093	12.83348311
rN	r	N	2	51093	14.64083803
rd	r	d	1	51093	15.64083803
rË	r	Ë	1	51093	15.64083803
rp	r	p	1	51093	15.64083803
rQ	r	Q	1	51093	15.64083803
rr	r	r	1	51093	15.64083803
rʃ	r	ʃ	1	51093	15.64083803
rʲö	rʲ	ö	523	1066	1.027324587
rʲo	rʲ	o	352	1066	1.598560104
rʲü	rʲ	ü	110	1066	3.276632009
rʲa	rʲ	a	52	1066	4.357552005
rʲu	rʲ	u	29	1066	5.200010728
sU	s	U	12411	46895	1.917814746
sa	s	a	7737	46895	2.59958793
su	s	u	7589	46895	2.627452409
so	s	o	7111	46895	2.721309748
se	s	e	4044	46895	3.535579207
së	s	ë	3527	46895	3.732920628
sö	s	ö	1992	46895	4.557144557
sü	s	ü	529	46895	6.470022577
s#	s	#	453	46895	6.693779249
sk	s	k	352	46895	7.05771487
sn	s	n	250	46895	7.551362204
sO	s	O	213	46895	7.782436868
st	s	t	196	46895	7.902436645
sä	s	ä	97	46895	8.917233647
sE	s	E	67	46895	9.451057298
sg	s	g	52	46895	9.816706771
si	s	i	47	46895	9.962557637
sA	s	A	34	46895	10.42968365
ss	s	s	24	46895	10.93218399
sj	s	j	23	46895	10.99358453
sï	s	ï	21	46895	11.12482907
skʲ	s	kʲ	21	46895	11.12482907
sp	s	p	18	46895	11.34722149
sÖ	s	Ö	17	46895	11.42968365
sr	s	r	15	46895	11.61025589
s	s		12	46895	11.93218399
sm	s	m	8	46895	12.51714649
sʃ	s	ʃ	8	46895	12.51714649
sd	s	d	5	46895	13.19521839
sN	s	N	5	46895	13.19521839
sb	s	b	4	46895	13.51714649
sʦ	s	ʦ	3	46895	13.93218399
sw	s	w	3	46895	13.93218399
sI	s	I	2	46895	14.51714649
sQ	s	Q	2	46895	14.51714649
sh	s	h	1	46895	15.51714649
sÜ	s	Ü	1	46895	15.51714649
sʧ	s	ʧ	1	46895	15.51714649
ʃI	ʃ	I	14363	31149	1.116828732
ʃi	ʃ	i	7770	31149	2.003199344
ʃo	ʃ	o	1725	31149	4.174517581
ʃa	ʃ	a	1477	31149	4.398444117
ʃö	ʃ	ö	1396	31149	4.479815001
ʃü	ʃ	ü	1196	31149	4.702896553
ʃt	ʃ	t	1113	31149	4.80666035
ʃï	ʃ	ï	709	31149	5.45725641
ʃu	ʃ	u	555	31149	5.810554266
ʃU	ʃ	U	294	31149	6.727225883
ʃk	ʃ	k	148	31149	7.717444862
ʃm	ʃ	m	116	31149	8.068917233
ʃkʲ	ʃ	kʲ	63	31149	8.949618304
ʃʦ	ʃ	ʦ	46	31149	9.403336272
ʃO	ʃ	O	17	31149	10.83943539
ʃs	ʃ	s	16	31149	10.92689823
ʃʧ	ʃ	ʧ	16	31149	10.92689823
ʃn	ʃ	n	15	31149	11.02000763
ʃQ	ʃ	Q	15	31149	11.02000763
ʃr	ʃ	r	15	31149	11.02000763
ʃe	ʃ	e	11	31149	11.46746661
ʃä	ʃ	ä	8	31149	11.92689823
ʃʃ	ʃ	ʃ	8	31149	11.92689823
ʃd	ʃ	d	7	31149	12.11954331
ʃj	ʃ	j	6	31149	12.34193573
ʃp	ʃ	p	5	31149	12.60497013
ʃb	ʃ	b	4	31149	12.92689823
ʃh	ʃ	h	4	31149	12.92689823
ʃÏ	ʃ	Ï	4	31149	12.92689823
ʃnʲ	ʃ	nʲ	4	31149	12.92689823
ʃ#	ʃ	#	3	31149	13.34193573
ʃë	ʃ	ë	3	31149	13.34193573
ʃg	ʃ	g	3	31149	13.34193573
ʃN	ʃ	N	3	31149	13.34193573
ʃw	ʃ	w	3	31149	13.34193573
ʃÜ	ʃ	Ü	2	31149	13.92689823
ʃʤ	ʃ	ʤ	2	31149	13.92689823
ʃA	ʃ	A	1	31149	14.92689823
ʃf	ʃ	f	1	31149	14.92689823
ʃrʲ	ʃ	rʲ	1	31149	14.92689823
ʃç	ʃ	ç	1	31149	14.92689823
to	t	o	29984	83399	1.475837227
te	t	e	23947	83399	1.800185154
ta	t	a	23381	83399	1.83469345
tö	t	ö	1544	83399	5.755285427
të	t	ë	1259	83399	6.049679897
tO	t	O	866	83399	6.58951925
tä	t	ä	585	83399	7.15544965
tA	t	A	518	83399	7.330934177
tE	t	E	508	83399	7.359057778
tï	t	ï	284	83399	8.197995345
ti	t	i	237	83399	8.458999216
t#	t	#	89	83399	9.872009034
tu	t	u	61	83399	10.41700513
tj	t	j	30	83399	11.44085187
tI	t	I	20	83399	12.02581437
tü	t	ü	16	83399	12.34774246
tk	t	k	13	83399	12.64730275
tt	t	t	11	83399	12.88831085
tU	t	U	9	83399	13.17781746
ts	t	s	8	83399	13.34774246
tʃ	t	ʃ	6	83399	13.76277996
td	t	d	4	83399	14.34774246
tr	t	r	4	83399	14.34774246
t	t		4	83399	14.34774246
tn	t	n	3	83399	14.76277996
th	t	h	2	83399	15.34774246
